"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","339","[Positive] Login for access token with valid username and password","API RUN","2026-06-24","passed","2026-06-24","Auth > POST /login/","../api/auth.api.spec.ts","",""
"","593","[Validation] Verify email link missing token query parameter","API RUN","2026-06-24","passed","2026-06-24","Auth > GET /register/verify-email","../api/auth.api.spec.ts","",""
"","1405","[Positive] Register user with valid email, password, and name","API RUN","2026-06-24","passed","2026-06-24","Auth > POST /register/","../api/auth.api.spec.ts","",""
"","191","[Boundary] Verify email link with token shorter than minimum length","API RUN","2026-06-24","passed","2026-06-24","Auth > GET /register/verify-email","../api/auth.api.spec.ts","",""
"","976","Complete checkout from login through order confirmation","UI RUN","2026-06-24","passed","2026-06-24","Saucedemo Purchase Flow","saucedemo-checkout.spec.ts","",""
"","770","[Positive] Verify email link with valid token query parameter","API RUN","2026-06-24","passed","2026-06-24","Auth > GET /register/verify-email","../api/auth.api.spec.ts","",""
"","36","seed","API RUN","2026-06-24","passed","2026-06-24","Seed","../api/seed.api.spec.ts","",""
"","351","[SchemaValidation] Verify login access token response matches LoginAccessTokenResponse schema","API RUN","2026-06-24","passed","2026-06-24","Auth > POST /login/","../api/auth.api.spec.ts","",""
"","1025","[SchemaValidation] Verify register response matches RegisterResponse schema","API RUN","2026-06-24","passed","2026-06-24","Auth > POST /register/","../api/auth.api.spec.ts","",""
"","195","[Validation] Resend verification email missing email","API RUN","2026-06-24","passed","2026-06-24","Auth > POST /register/resend-verification-email","../api/auth.api.spec.ts","",""
"","262","[Positive] Resend verification email with valid registered email","API RUN","2026-06-24","passed","2026-06-24","Auth > POST /register/resend-verification-email","../api/auth.api.spec.ts","",""
"","731","[SchemaValidation] Verify resend verification response matches ResendVerificationResponse schema","API RUN","2026-06-24","passed","2026-06-24","Auth > POST /register/resend-verification","../api/auth.api.spec.ts","",""
"","188","[Validation] Resend verification email with invalid email format","API RUN","2026-06-24","passed","2026-06-24","Auth > POST /register/resend-verification-email","../api/auth.api.spec.ts","",""
"","190","[Validation] Register user missing required name","API RUN","2026-06-24","passed","2026-06-24","Auth > POST /register/","../api/auth.api.spec.ts","",""
"","183","[Authentication] Resend verification email with missing auth token","API RUN","2026-06-24","passed","2026-06-24","Auth > POST /register/resend-verification","../api/auth.api.spec.ts","",""
"","263","seed","UI RUN","2026-06-24","passed","2026-06-24","Test group","seed.spec.ts","",""
"","184","[Validation] Login for access token with invalid grant_type","API RUN","2026-06-24","passed","2026-06-24","Auth > POST /login/","../api/auth.api.spec.ts","",""
"","198","[Validation] Register user with malformed email","API RUN","2026-06-24","passed","2026-06-24","Auth > POST /register/","../api/auth.api.spec.ts","",""
"","190","[SchemaValidation] Verify resend verification email response matches ResendVerificationResponse schema","API RUN","2026-06-24","passed","2026-06-24","Auth > POST /register/resend-verification-email","../api/auth.api.spec.ts","",""
"","185","[Validation] Login for access token missing password","API RUN","2026-06-24","passed","2026-06-24","Auth > POST /login/","../api/auth.api.spec.ts","",""
"","826","[Positive] Resend verification email while authenticated","API RUN","2026-06-24","passed","2026-06-24","Auth > POST /register/resend-verification","../api/auth.api.spec.ts","",""
